-- Format is:
-- Unit Type ID, Unit Name, Attack, Defense, Move, MaxHP, PredatorID, AbilityID, AbilityID2, AbilityID3, AbilityID4


000,Zombies,		0,0,1,25,0,001,000,000,000
001,Swordsmen,		1,1,2,30,0,000,000,000,000
002,Skirmishers,	2,1,2,30,0,002,000,000,000
003,Berserkers,		3,0,2,30,0,003,000,000,000
004,Pikemen,		1,1,2,25,0,004,000,000,000
005,Phalanx,		1,1,2,25,0,004,005,000,000
006,Guardian,		1,1,2,30,0,004,006,000,000
007,Archers,		1,0,2,25,001,007,000,000,000
008,Longbowmen,		1,0,2,25,001,008,000,000,000
009,Crossbowmen,	1,0,2,25,001,007,003,000,000
010,Cavalry,		1,1,3,25,004,009,000,000,000
011,HeavyCavalry,	1,1,3,25,004,010,000,000,000
012,Paladins,		1,1,3,25,004,009,011,012,000
013,FlyingCavalry,	1,1,3,20,007,013,014,000,000
014,KnightsAeris,	1,1,3,20,007,015,016,000,000
015,DragonMage,		1,1,2,20,007,018,017,019,000
016,Scout,		0,0,3,20,0,020,021,022,000
017,Spy,		0,0,3,20,017,021,023,024,000
018,Assassins,		0,0,3,20,0,021,025,000,000
019,Siege,		-4,0,1,25,0,026,000,000,000
020,Ballista,		0,0,1,25,0,027,028,000,000
021,Trebuchet,		-4,0,1,25,0,029,000,000,000
022,Bandit,		1,0,2,25,0,030,000,000,000
023,Hunter,		1,0,2,25,0,007,031,032,000
024,UndeadSwordsmen,	1,1,2,30,0,001,000,000
025,UndeadSkirmishers,	2,1,2,30,0,002,001,000
026,UndeadBerserkers,	3,0,2,30,0,003,001,000
027,UndeadPikemen,	1,1,2,25,0,004,001,000
028,UndeadPhalanx,	1,1,2,25,0,004,005,001,000
029,UndeadGuardian,	1,1,2,30,0,004,006,001,000
030,UndeadArchers,	1,0,2,25,001,007,001,000,000
031,UndeadLongbowmen,	1,0,2,25,001,008,001,000,000
032,UndeadCrossbowmen,	1,0,2,25,001,007,003,001,000
033,UndeadCavalry,	1,1,3,25,004,009,001,000,000
034,UndeadHeavyCavalry,	1,1,3,25,004,010,001,000,000
035,UndeadPaladins,	1,1,3,25,004,009,011,012,001
036,UndeadFlyingCavalry,1,1,3,20,007,013,014,001,000
037,UndeadKnightsAeris,	1,1,3,20,007,015,016,001,000
038,UndeadDragonMage,	1,1,2,20,007,018,017,019,001
039,UndeadScout,	0,0,3,20,0,020,021,022,001
040,UndeadSpy,		0,0,3,20,017,021,023,024,001
041,UndeadAssassins,	0,0,3,20,0,021,025,001,000
042,UndeadSiege,	-4,0,1,25,0,026,001,000,000
043,UndeadBallista,	0,0,1,25,0,027,028,001,000
044,UndeadTrebuchet,	-4,0,1,25,0,029,001,000,000
045,UndeadBandit,	1,0,2,25,0,030,001,000,000
046,UndeadHunter,	1,0,2,25,0,007,031,032,000
047,Stronghold,		0,1,0,40,0,033,035,037,007
048,Capital,		1,2,0,40,0,034,036,037,008
